ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
4242;Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018;8.6;85
4244;La Préceptorie Côtes du Roussillon Coume Marie 2018;13.5;50
4245;Parcé Frères IGP Pays d'Oc Zoé Viognier 2019;8.9;141
4246;Domaine Saint-Denis Mâcon Lugny 2017;15.3;25
4248;Domaine Saint-Denis Mâcon Chardonnay 2017;14.8;64
4250;Domaine Saint-Denis Bourgogne Rouge Clos de la Coque 2018;19.5;14
4251;Domaine Saint-Denis Bourgogne Rouge Le Clos 2017;14.1;102
4260;Chermette Domaine du Vissoux Beaujolais Blanc Collonge 2017;12.2;22
4261;Chermette Domaine du Vissoux Beaujolais Griottes 2018;9.9;89
4262;Chermette Domaine du Vissoux Brouilly Pierreux 2018;15.8;35
4263;Chermette Domaine du Vissoux Fleurie Poncié 2018;15.8;50
4264;Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018;17.8;48
4265;Domaine Bulliat Beaujolais Villages Bibine 2018;9.6;21
4267;Domaine Bulliat Morgon Amphore Cou de Jus 2019;19.0;21
4268;Domaine Bulliat Morgon Le Colombier 2019;15.2;55
4269;Domaine Sérol Côte Roannaise Les Originelles 2019;10.2;1
4270;Domaine Sérol Côte Roannaise Les Millerands 2018;15.5;31
4271;Domaine Sérol Côte Roannaise Perdrizière 2016;16.6;56
4272;Domaine Sérol Côte Roannaise Rosé Cabochard 2016;9.2;25
4274;Domaine Sérol Vin Mousseux Rosé Turbullent Méthode Ancestrale;12.9;0
4275;I Fabbri Chianti Classico Lamole 2017;14.9;14
4276;I Fabbri Chianti Classico Terra Di Lamole 2015;17.6;1
4280;Château de Cazeneuve Languedoc Blanc 2016;18.9;46
4281;Château de Cazeneuve Val de Montferrand Rouge Caza Sorix 2019;11.6;4
4297;Domaine de La Tour Du Bon Bandol Blanc 2019;19.0;26
4301;Domaine de La Tour Du Bon Bandol Rosé 2019;17.5;14
4304;Domaine de l'Idylle Savoie Cruet 2018;8.1;133
4306;Domaine de l'Idylle Roussette de Savoie Anne de Chypre 2018;10.7;41
4307;Domaine de l'Idylle Savoie Mondeuse Le Tithonien 2018;10.9;0
4601;Catherine et Claude Maréchal Bourgogne Aligoté 2018;16.1;31
4607;François Bergeret Hautes Côtes de Beaune Vieilles Vignes Rondo 2017;13.4;0
4609;François Bergeret Hautes Côtes de Beaune Rouge 2017;11.8;237
4610;François Bergeret Hautes Côtes de Beaune Blanc 2018;13.1;114
4613;Gilbert Picq Chablis 2017;16.9;31
4614;Gilbert Picq Chablis En Vaudécorse 2017;19.0;50
4620;Bernard Baudry Chinon Rouge Les Granges 2018;11.9;106
4621;Bernard Baudry Chinon Rouge Les Grézeaux 2017;16.5;49
4649;Bernard Baudry Chinon Blanc 2018;16.5;5
4664;La Cotelleraie Saint-Nicolas-de-Bourgueil Le Vau Jaumier 2016;16.4;15
4665;Vincent Carême Vouvray Sec 2018;14.4;6
4668;Xavier Frissant Touraine Amboise L'Orée des Frênes 2015;12.3;23
4670;Domaine Pellé Menetou Salon Blanc Morogues 2018;17.0;93
4672;Domaine Pellé Menetou Salon Rouge Morogues 2017;17.8;5
4673;Domaine Pellé Sancerre Rouge La Croix Au Garde 2017;19.8;35
4674;Domaine Pellé Sancerre Blanc La Croix Au Garde 2018;19.0;41
4675;Domaine Rotier Gaillac Blanc Sec Renaissance 2015;10.7;35
4676;Domaine Rotier Gaillac Blanc Doux Les Gravels 2016;12.9;73
4677;Domaine Rotier Gaillac Rouge Les Gravels 2016;9.5;161
4679;Domaine Rotier Gaillac Rouge Renaissance 2016;13.2;37
4680;Domaine de Joy Côtes de Gascogne Envie de Joy 2018;6.3;34
4681;Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018;7.1;178
4682;Château Plaisance Fronton Rouge 2017;9.1;26
4683;Château Plaisance Fronton Rosé 2019;9.1;42
4684;Château Plaisance Fronton To Co Que Cal 2015;18.1;25
4686;Cosse Maisonneuve Cahors Solis 2018;14.0;6
4689;Domaine Plageoles Côtes du Tarn Blanc Sec Ondenc;12.8;6
4690;Domaine Plageoles Vin de France Contre-Pied 2016;12.8;15
4703;Albert Mann Crémant d'Alsace Extra Brut 2017;19.8;2
4704;Albert Mann Gewurztraminer 2017;18.2;0
4706;Albert Mann Muscat 2018;16.8;23
4712;Domaine Schoenheitz Crémant d'Alsace Mémoire de Granit Extra Brut;15.8;0
4713;Domaine Schoenheitz Gewurztraminer Lisenberg 2015;18.4;6
4714;Domaine Schoenheitz Muscat 2017;13.3;25
4715;Domaine Schoenheitz Pinot Blanc Val Saint Grégoire 2017;11.1;30
4716;Domaine Schoenheitz Pinot Gris Herrenreben 2017;18.6;7
4718;Domaine Schoenheitz Pinot Noir Val Saint Grégoire 2017;18.2;19
4719;Domaine Schoenheitz Pinot Noir Tradition 2019;12.5;29
4720;Domaine Schoenheitz Riesling Herrenreben 2018;15.9;10
4722;François Baur Pinot Gris Herrenweg de Turckheim 2018;13.7;0
